halo_id,dir,fesc_dir,O32,R23,Ne3O2,O3Hb,N2Ha,S2_deficit,Balmer_dec,EW_Hb,EW_O3,beta_UV,xi_ion,MAB_1500,E_BV,redshift
229433,9,0.0277745062280571,0.8063784086885093,0.7980052272181908,-0.45306394946754125,0.6244324409092101,-1.285960081576519,-0.8433092286896695,3.135528092348405,68.05309168708729,297.89795937734135,-1.9656372674213216,1.405233711334947,-17.528172817599977,0.0857452896605772,4.64
231666,9,0.0053252558461526,0.6269085612195369,0.823875612636968,-0.6413248747097313,0.6282438909481343,-1.1331666562522642,-0.6936534275823405,3.291106165501927,39.75446143769294,175.24965687033574,-1.9489805805419136,1.4029982321881591,-18.45793430426814,0.1308908950193907,4.64
231699,9,0.001053,0.6642067612107638,0.769094020358061,-0.6504548877709269,0.5797701532934099,-1.2110494146452666,-0.5032137714918079,3.615459017275469,22.971160494043655,89.65952321717118,-1.448784282109452,1.4043401286210992,-18.17208992228048,0.2185185138360406,4.64
232840,9,0.0004264449510527,1.1421360408166237,0.6545754797662227,-0.1072400304341059,0.5062241423362082,-1.824592223979721,-1.516883558796252,3.033595326687941,71.92101377709356,238.71506532683082,-1.712333242399098,1.4044940963082129,-16.04633278697749,0.0549350062465099,4.64
233918,9,1.811750105307975e-06,0.7471878331886614,0.7452549169142983,-0.5609677640530109,0.5656668284334216,-1.4101890657815233,-1.0278367585499737,3.4973011470728146,26.317547023801605,100.98768525559431,-1.7176540976727834,1.4006185687317365,-17.03206025156458,0.1875421625449752,4.64
234395,9,0.000503,0.4770847831720957,0.8910306044414611,-0.7797189682757946,0.6724760467583337,-1.0180374767524114,0.051753310049505785,3.1798625728687653,15.455093307004379,74.04140540526915,-1.8809960989291263,1.4012152991386702,-18.30069996937358,0.09883452736846,4.64
235287,9,0.0,0.7210954276079136,0.43358442657946483,-0.5283759207515288,0.2506100574598591,-1.4873479326899144,-0.935912541628646,3.212458318337246,91.76501023687324,171.1784469418184,-2.205350291743517,1.4056378332223665,-15.439194345283571,0.1083421498972053,4.64
235665,9,0.005327333474256,0.6205642038101402,0.854253708513852,-0.6913362606336904,0.6585610302070606,-1.2103138329687013,-0.7824581742740406,3.576751996965549,20.065820281057672,92.84975554516076,-0.919118333217958,1.4031247498399644,-17.29032385196826,0.2084839770418491,4.64
236765,9,0.0020992676752619,0.4995882455513936,0.845280497074846,-0.7996578306678543,0.628353513555929,-1.0351582093932308,-0.49209973245832117,3.4027690433089233,10.736490868988488,46.391412611110994,-2.033549470435075,1.3995874537969397,-16.816256609887596,0.1619964038562464,4.64
238650,9,9.419354838709676e-05,0.5192673875548266,0.6099720852902877,-0.7372000507591423,0.3956927469513474,-1.257499975576323,-0.8025873150892693,3.2354088446041227,18.43837221011501,46.91469559043037,-1.669016149049316,1.4014353918865599,-16.720804425171668,0.1149787281286209,4.64
240829,9,0.0032286970809661,0.6568814208390421,0.8786786322122637,-0.5988178835619777,0.6868727858672372,-1.092575121568082,-0.5465933648557311,3.271558863427056,21.321556041778532,107.1282281239488,-1.506442030727876,1.401573203120142,-17.522217913707536,0.1253373066302502,4.64
242520,9,0.4654755163472714,0.5800934115955698,0.45757431049800346,-0.5983643459003289,0.2539330709099019,-1.4615908798847244,-1.0635131049083029,2.941098318691255,78.18472516375185,150.4850179503554,-1.89455372806354,1.4029936991215923,-17.3953715123777,0.0260672811654742,4.64
246108,9,0.0010104591931127,0.6661583162967659,0.6326649797578909,-0.5132067024771061,0.4422581595987083,-1.3423461288654295,-0.9552752096733528,2.899590901977688,56.95663997199104,166.45823554972057,-1.5860855323359533,1.4032172579098294,-18.928265541114392,0.0128167058375039,4.64
249075,9,0.082321508998865,0.686449943391537,0.6535264662441662,-0.5604293487421685,0.4662401759534589,-1.3601765237429007,-0.8864228026509551,3.168669396460795,57.96724714480375,175.80112808433134,-2.769774249505271,1.4045521402141634,-17.21200744243619,0.0955471746478728,4.64
250086,9,0.0004541441807978,0.516056053720078,0.7302023531026265,-0.7557429134908915,0.515970631411875,-1.0943398867636844,-0.5293952702689779,3.3181162980360663,11.880480306842284,39.854892373134994,-2.4380218548767347,1.4004913731298276,-17.138143667676268,0.1385107126970006,4.64
256489,9,8.327469406959266e-07,0.777470582972775,0.49832100323125417,-0.49470028296006063,0.32244858902672746,-1.546102337757027,-1.059445016721206,3.214383569424473,56.63827758848486,123.78146314244388,-0.9787346060101592,1.4051886256066703,-17.049708300422765,0.1089006915835794,4.64
258155,9,0.0014156,0.48599042366679157,0.7078363384576534,-0.7579859363626227,0.48758745896031286,-1.1069539308172835,-0.6834368953312691,3.0848626704068542,19.01673557197191,59.69463872586841,-2.41186194301182,1.3996704319387563,-17.770789862087785,0.0705583797221216,4.64
258338,9,2.643886160137247e-05,0.5373493706832235,0.49872759031237024,-0.6656721462082302,0.28756520131976515,-1.2644242371597159,-0.8087464971613159,2.996247373892715,105.8665300158978,214.9901866705283,-2.507831720994317,1.4066121781861594,-17.6199315285482,0.0433863304588091,4.64
259060,9,9.729732359387125e-07,0.6885682471821042,0.8028654494570446,-0.6269204482313455,0.6162604814276804,-1.2537124002656626,-0.662131421834836,3.6008937685772784,19.915343254688658,83.79790879793386,-2.396162857765942,1.4042018703718986,-16.453252174049016,0.2147552336398565,4.64
259062,9,0.0003048,0.4414383122686658,1.0653005010975392,-0.8536213639531525,0.8360127402193882,-0.8081822486637549,-0.24548628077168644,3.6873420420746696,8.583622986941872,60.922814864500936,-1.5018252029469965,1.400985667789753,-18.29647656714281,0.2368719217744521,4.64
260738,9,0.0029214,0.8581756972046151,0.8091824513077839,-0.45511515319677187,0.6414947191614786,-1.4131374439533104,-0.9898459447555652,3.395981541066725,15.223896728365713,67.88393635347217,-1.2295726518928063,1.4012734661561013,-17.84479526625057,0.1601349733015901,4.64
261053,9,5.0263279055693725e-06,0.3103706139375362,0.694223883093656,-0.8907535095039094,0.43323611008731433,-1.0198545116749145,-0.6187262195680319,3.056434719772793,13.684873377951643,37.929144334446235,-2.213629758326655,1.3964380611080005,-17.691657906750734,0.0619275143303685,4.64
261993,9,0.0059385806303087,0.806690363900465,0.5476366638186576,-0.42791181030305836,0.37429679992779086,-1.5941119939661377,-1.2157035978597648,3.036187883208729,51.4796021262972,125.85777947602004,-2.111049292496636,1.4035130643254972,-16.762646476464194,0.0557313872590517,4.64
